"","t1","t2","t3"
"s001",3,1,3
"s002",NA,NA,NA
"s003",2,2,2
"s004",2,2,3
"s005",2,3,3
"s006",3,2,5
"s007",2,3,3
"s008",2,2,2
"s009",4,NA,NA
"s010",NA,3,3
"s011",2,3,2
"s012",3,3,4
"s013",4,4,4
"s014",2,3,2
"s015",2,3,3
"s016",4,NA,3
"s017",3,2,NA
"s018",2,NA,2
"s019",4,5,4
"s020",2,2,2
"s021",NA,NA,NA
"s022",NA,2,2
"s023",NA,NA,NA
"s024",3,3,NA
"s025",3,NA,NA
"s026",2,NA,2
"s027",4,5,4
"s028",5,5,5
"s029",5,5,5
"s030",3,NA,2
"s031",1,2,NA
"s032",2,3,3
"s033",3,4,3
"s034",4,4,5
"s035",2,3,2
"s036",3,3,4
"s037",NA,2,3
"s038",NA,NA,2
"s039",NA,2,2
"s040",3,3,NA
"s041",4,5,4
"s042",2,2,4
"s043",2,4,4
"s044",3,3,5
"s045",3,3,4
"s046",4,3,3
"s047",1,1,4
"s048",NA,NA,3
"s049",3,4,4
"s050",NA,4,4
"s051",3,3,3
"s052",3,5,5
"s053",3,4,3
"s054",2,3,3
"s055",NA,NA,1
"s056",1,1,3
"s057",4,4,3
"s058",4,3,5
"s059",3,2,3
"s060",3,3,3
"s061",NA,NA,4
"s062",3,3,4
"s063",4,NA,NA
"s064",4,4,2
"s065",4,5,3
"s066",3,3,3
"s067",4,3,NA
"s068",NA,NA,NA
"s069",2,2,3
"s070",3,4,4
"s071",4,4,5
"s072",4,4,3
"s073",2,2,3
"s074",3,4,4
"s075",2,5,3
"s076",2,3,3
"s077",4,4,4
"s078",1,1,3
"s079",2,4,4
"s080",2,3,2
"s081",2,2,4
"s082",2,2,4
"s083",NA,NA,NA
"s084",2,NA,2
"s085",2,2,4
"s086",3,3,3
"s087",1,3,4
"s088",4,4,4
"s089",4,2,4
"s090",2,2,2
"s091",2,NA,2
"s092",2,NA,2
"s093",3,4,3
"s094",4,NA,NA
"s095",2,2,2
"s096",3,3,NA
"s097",2,2,2
"s098",4,4,4
"s099",3,3,4
"s100",3,2,4
"s101",2,2,3
"s102",4,NA,NA
"s103",3,NA,NA
"s104",3,NA,NA
"s105",2,2,4
"s106",2,3,4
"s107",4,4,4
"s108",2,NA,2
"s109",2,3,4
"s110",2,3,3
"s111",3,3,4
"s112",2,NA,3
"s113",2,3,4
"s114",3,3,4
"s115",4,4,4
"s116",2,2,NA
"s117",3,2,3
"s118",2,2,3
"s119",1,NA,NA
"s120",NA,NA,NA
"s121",1,NA,NA
"s122",4,2,4
"s123",4,3,4
"s124",2,NA,NA
"s125",NA,NA,2
"s126",4,5,5
"s127",2,2,4
"s128",5,5,NA
"s129",4,4,NA
"s130",3,2,2
"s131",5,5,5
"s132",NA,NA,2
"s133",4,NA,NA
"s134",2,2,2
"s135",3,2,3
"s136",NA,2,5
"s137",2,NA,3
"s138",2,2,2
"s139",2,2,2
"s140",2,4,4
"s141",2,2,2
"s142",3,2,4
"s143",2,3,4
"s144",5,5,5
"s145",2,NA,NA
"s146",5,4,3
"s147",1,2,3
"s148",2,4,2
"s149",1,3,3
"s150",2,3,4
"s151",3,3,3
"s152",1,2,3
"s153",NA,5,NA
"s154",NA,3,2
"s155",NA,3,NA
"s156",NA,1,NA
"s157",NA,4,5
"s158",NA,2,NA
"s159",NA,NA,5
"s160",NA,NA,2
