"","s001","s002","s003","s004","s005","s006","s007","s008","s009","s010","s011","s012","s013","s014","s015","s016","s017","s018","s019","s020","s021","s022","s023","s024","s025","s026","s027","s028","s029","s030","s031","s032","s033","s034","s035","s036","s037","s038","s039","s040","s041","s042","s043","s044","s045","s046","s047","s048","s049","s050","s051","s052","s053","s054","s055","s056","s057","s058","s059","s060","s061","s062","s063","s064","s065","s066","s067","s068","s069","s070","s071","s072","s073","s074","s075","s076","s077","s078","s079","s080","s081","s082","s083","s084","s085","s086","s087","s088","s089","s090","s091","s092","s093","s094","s095","s096","s097","s098","s099","s100","s101","s102","s103","s104","s105","s106","s107","s108","s109","s110","s111","s112","s113","s114","s115","s116","s117","s118","s119","s120","s121","s122","s123","s124","s125","s126","s127","s128","s129","s130","s131","s132","s133","s134","s135","s136","s137","s138","s139","s140","s141","s142","s143","s144","s145","s146","s147","s148","s149","s150","s151","s152","s153","s154","s155","s156","s157","s158","s159","s160"
"s001",0,0.101760320640117,0.139262327431879,NA,1.18510901765299,0.246507855089366,0.422724663164571,0.278372136890637,0.263600423953008,2.64887747414193,0.0588126300337865,0.263600423953008,0.355830134173773,NA,0.366532157567037,1.82235967106,0.0864288774634855,0.167987257839342,0.25731125994444,2.05182675569795,2.05182675569795,0.41970547688945,NA,0.361015554992553,0.029923414380956,NA,0.0981116987951005,0.304700612124713,1.01990273570238,2.49114764502302,0.852795222809213,0.24573127048949,0.335502252340422,1.08813720390958,0.901295104588077,0.274929484941974,0.0463110485516846,0.227823484067739,0.361015554992553,0.0392525861228181,1.14589676397597,NA,0.187259714993651,0.632396860207234,NA,2.66675816376214,0.125753713009353,NA,0.110105945725057,0.219987804175516,1.08997089278377,0.0103879075356455,0.201908324493342,0.870791378283863,NA,0.219987804175516,1.06580517096449,0.366028953725844,NA,0.143816286242747,0.452983911892295,1.14589676397597,0.192752374990183,0.853890154448813,0.390899328128409,0.143816286242747,0.547162505420614,0.827527933875459,0.263600423953008,0.853890154448813,0.388793309799571,0.920853571654915,0.237965609059486,0.253149200520872,1.45088787486249,0.319409469997233,1.49011611938477e-08,0.24573127048949,0.0978114825828101,NA,0.226938793667374,0.0406919486929571,NA,NA,0.143816286242747,0.28830164093213,0.110105945725057,0.402023607519777,0.292008199074432,0.28830164093213,0.201908324493342,NA,0.547162505420614,0.299026881153666,0.38686515765958,0.849831750010671,0.901295104588077,0.0152216363206196,1.12824500618716,NA,1.07292675092201,NA,NA,0.253533543491257,0.154366700523052,0.209916092874559,0.0978114825828101,0.227865152982478,NA,NA,NA,0.0463110485516846,0.558168735162415,0.227823484067739,0.294479915902141,0.179389067679794,NA,1.09733873598606,0.171602535507859,NA,0.0588126300337865,0.136422373793709,0.914347664744605,NA,0.175536225896036,0.263600423953008,1.09733873598606,NA,NA,1.59427430208233,0.167987257839342,1.82637108982413,NA,0.393493627711015,0.710187016285354,NA,NA,0.442854062174067,0.0934650727015815,2.5536810881528,0.305343019523323,0.161999469147816,0.219390822997233,NA,0.460184829356769,0.344965693457517,0.058328667705955,NA,0.292723628431673,1.12824500618716,0.237965609059486,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s002",0.101760320640117,0,0.241022648071995,NA,1.08334869701287,0.348268175729482,0.320964342524455,0.380132457530753,0.161840103312892,2.75063779478205,0.160572950673901,0.161840103312892,0.254069813533656,NA,0.26477183692692,1.72059935041988,0.0153314431766276,0.0662269371992255,0.359071580584557,1.95006643505783,1.95006643505783,0.521465797529567,NA,0.462775875632669,0.131683735021068,NA,0.199872019435216,0.406460932764829,0.918142415062263,2.59290796566314,0.954555543449329,0.143970949849374,0.437262572980538,0.986376883269462,0.799534783947961,0.37668980558209,0.0554492720884311,0.329583804707854,0.462775875632669,0.141012906762929,1.04413644333586,NA,0.0854993943535333,0.530636539567118,NA,2.76851848440225,0.227514033649468,NA,0.211866266365171,0.321748124815633,0.988210572143652,0.112148228175748,0.303668645133458,0.972551698923979,NA,0.321748124815633,0.964044850324371,0.264268633085727,NA,0.245576606882862,0.351223591252178,1.04413644333586,0.090992054350066,0.752129833808697,0.289139007488292,0.245576606882862,0.445402184780498,0.725767613235343,0.161840103312892,0.752129833808697,0.490553630439687,0.819093251014799,0.339725929699603,0.354909521160988,1.34912755422237,0.217649149357116,0.101760320640117,0.143970949849374,0.00394883805731638,NA,0.125178473027257,0.142452269333071,NA,NA,0.245576606882862,0.186541320292014,0.211866266365171,0.30026328687966,0.393768519714547,0.186541320292014,0.303668645133458,NA,0.445402184780498,0.400787201793782,0.285104837019463,0.748071429370555,0.799534783947961,0.0865386843194923,1.02648468554704,NA,0.971166430281889,NA,NA,0.151773222851141,0.256127021163167,0.108155772234441,0.00394883805731638,0.126104832342361,NA,NA,NA,0.0554492720884311,0.456408414522299,0.329583804707854,0.192719595262025,0.28114938831991,NA,0.995578415345943,0.273362856147975,NA,0.160572950673901,0.238182694433825,1.01610798538472,NA,0.277296546536152,0.161840103312892,0.995578415345943,NA,NA,1.49251398144222,0.0662269371992255,1.92813141046425,NA,0.495253948351131,0.608426695645238,NA,NA,0.34109374153395,0.195225393341696,2.65544140879292,0.203582698883206,0.263759789787932,0.117630502357116,NA,0.561945149996885,0.2432053728174,0.0434316529341602,NA,0.190963307791556,1.02648468554704,0.339725929699603,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s003",0.139262327431879,0.241022648071995,0,NA,1.32437134508487,0.107245527657487,0.56198699059645,0.139109809458758,0.402862751384887,2.50961514671005,0.0804496973980944,0.402862751384887,0.495092461605651,NA,0.505794484998915,1.96162199849188,0.225691204895364,0.307249585271221,0.118048932512561,2.19108908312983,2.19108908312983,0.280443149457571,NA,0.221753227560674,0.109338913050925,NA,0.0411506286367762,0.165438284692833,1.15916506313426,2.35188531759114,0.713532895377334,0.384993597921369,0.196239924908544,1.22739953134146,1.04055743201996,0.135667157510095,0.185573375983563,0.0885611566358592,0.221753227560674,0.100009741309068,1.28515909140785,NA,0.32652204242553,0.771659187639113,NA,2.52749583633026,0.013508614422527,NA,0.0291563817068271,0.080725476743638,1.22923322021565,0.128874419896249,0.062645997061464,0.731529050851984,NA,0.080725476743638,1.20506749839637,0.505291281157723,NA,0.00455395881087807,0.592246239324174,1.28515909140785,0.332014702422062,0.993152481880692,0.530161655560287,0.00455395881087807,0.686424832852493,0.966790261307338,0.402862751384887,0.993152481880692,0.249530982367692,1.06011589908679,0.0987032816276077,0.113886873088992,1.59015020229437,0.458671797429112,0.139262327431879,0.384993597921369,0.237073810014689,NA,0.366201121099253,0.0985703787389228,NA,NA,0.00455395881087807,0.427563968364009,0.0291563817068271,0.541285934951656,0.152745871642552,0.427563968364009,0.062645997061464,NA,0.686424832852493,0.159764553721788,0.526127485091458,0.98909407744255,1.04055743201996,0.154483963752501,1.26750733361904,NA,1.21218907835388,NA,NA,0.392795870923136,0.015104373091165,0.349178420306437,0.237073810014689,0.367127480414356,NA,NA,NA,0.185573375983563,0.697431062594294,0.0885611566358592,0.43374224333402,0.0401267402479172,NA,1.23660106341794,0.0323402080759809,NA,0.0804496973980944,0.00283995363813915,0.775085337312726,NA,0.0362738984641578,0.402862751384887,1.23660106341794,NA,NA,1.73353662951421,0.307249585271221,1.68710876239225,NA,0.254231300279136,0.849449343717233,NA,NA,0.582116389605946,0.0457972547302977,2.41441876072092,0.444605346955202,0.0227371417159364,0.358653150429111,NA,0.32092250192489,0.484228020889396,0.197590995137834,NA,0.431985955863552,1.26750733361904,0.0987032816276077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s004",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s005",1.18510901765299,1.08334869701287,1.32437134508487,NA,0,1.43161687274236,0.762384354488419,1.46348115454363,0.921508593699983,2.44919881538466,1.24392164768678,0.921508593699983,0.829278883479219,NA,0.818576860085954,0.637250653407009,1.09868014018951,1.01712175981365,1.44242027759743,0.866717738044956,0.866717738044956,1.60481449454244,NA,1.54612457264554,1.21503243203394,NA,1.28322071644809,1.4898096297777,0.165206281950611,2.60692864450358,2.0379042404622,0.9393777471635,1.52061126999341,0.096971813743412,0.283813913064913,1.46003850259496,1.13879796910131,1.41293250172073,1.54612457264554,1.2243616037758,0.0392122536770164,NA,0.99784930265934,0.552712157445757,NA,2.43131812576446,1.31086273066234,NA,1.29521496337805,1.40509682182851,0.0951381248692214,1.19549692518862,1.38701734214633,2.05590039593685,NA,1.40509682182851,0.119303846688503,0.819080063927147,NA,1.32892530389574,0.732125105760696,0.0392122536770164,0.992356642662807,0.331218863204177,0.794209689524582,1.32892530389574,0.637946512232377,0.357581083777531,0.921508593699983,0.331218863204177,1.57390232745256,0.264255445998075,1.42307462671248,1.43825821817386,0.265778857209498,0.865699547655757,1.18510901765299,0.9393777471635,1.08729753507018,NA,0.958170223985617,1.22580096634595,NA,NA,1.32892530389574,0.896807376720861,1.29521496337805,0.783085410133214,1.47711721672742,0.896807376720861,1.38701734214633,NA,0.637946512232377,1.48413589880666,0.798243859993411,0.335277267642319,0.283813913064913,1.16988738133237,0.0568640114658275,NA,0.112182266730986,NA,NA,0.931575474161733,1.33947571817604,0.975192924778432,1.08729753507018,0.957243864670513,NA,NA,NA,1.13879796910131,0.626940282490575,1.41293250172073,0.890629101750849,1.36449808533278,NA,0.0877702816669326,1.35671155316085,NA,1.24392164768678,1.3215313914467,2.0994566823976,NA,1.36064524354903,0.921508593699983,0.0877702816669326,NA,NA,0.409165284429341,1.01712175981365,3.01148010747712,NA,1.57860264536401,0.474922001367636,NA,NA,0.742254955478923,1.27857409035457,2.54439520137379,0.879765998129668,1.34710848680081,0.965718194655758,NA,1.64529384700976,0.840143324195473,1.12678034994704,NA,0.892385389221317,0.0568640114658275,1.42307462671248,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s006",0.246507855089366,0.348268175729482,0.107245527657487,NA,1.43161687274236,0,0.669232518253937,0.0318642818012701,0.510108279042374,2.40236961905257,0.187695225055582,0.510108279042374,0.602337989263138,NA,0.613040012656402,2.06886752614936,0.332936732552851,0.414495112928708,0.0108034048550682,2.29833461078731,2.29833461078731,0.173197621800085,NA,0.114507699903188,0.216584440708412,NA,0.148396156294265,0.0581927570353467,1.26641059079174,2.24463978993365,0.606287367719847,0.492239125578856,0.0889943972510564,1.33464505899894,1.14780295967744,0.0284216298526093,0.29281890364105,0.0186843710216219,0.114507699903188,0.207255268966554,1.39240461906534,NA,0.433767570083017,0.8789047152966,NA,2.42025030867277,0.120754142080012,NA,0.136401909364311,0.0265200509138435,1.33647874787313,0.236119947553735,0.0445995305960268,0.624283523194497,NA,0.0265200509138435,1.31231302605385,0.612536808815209,NA,0.10269156884662,0.699491766981661,1.39240461906534,0.439260230079549,1.10039800953818,0.637407183217774,0.10269156884662,0.79367036050998,1.07403578896482,0.510108279042374,1.10039800953818,0.142285454710205,1.16736142674428,0.00854224602988802,0.00664134543151473,1.69739572995185,0.565917325086599,0.246507855089366,0.492239125578856,0.344319337672175,NA,0.473446648756739,0.20581590639641,NA,NA,0.10269156884662,0.534809496021496,0.136401909364311,0.648531462609143,0.0455003439850657,0.534809496021496,0.0445995305960268,NA,0.79367036050998,0.0525190260643005,0.633373012748945,1.09633960510004,1.14780295967744,0.261729491409988,1.37475286127653,NA,1.31943460601137,NA,NA,0.500041398580623,0.0921411545663147,0.456423947963924,0.344319337672175,0.474373008071843,NA,NA,NA,0.29281890364105,0.804676590251781,0.0186843710216219,0.540987770991507,0.0671187874095709,NA,1.34384659107542,0.0749053195815083,NA,0.187695225055582,0.110085481295656,0.667839809655239,NA,0.0709716291933314,0.510108279042374,1.34384659107542,NA,NA,1.8407821571717,0.414495112928708,1.57986323473477,NA,0.146985772621648,0.95669487137472,NA,NA,0.689361917263433,0.153042782387785,2.30717323306344,0.551850874612688,0.0845083859415494,0.465898678086598,NA,0.213676974267403,0.591473548546883,0.30483652279532,NA,0.539231483521038,1.37475286127653,0.00854224602988802,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s007",0.422724663164571,0.320964342524455,0.56198699059645,NA,0.762384354488419,0.669232518253937,0,0.701096800055208,0.159124239211563,3.07160213730651,0.481537293198356,0.159124239211563,0.0668945289908,NA,0.0561925055975334,1.39963500789543,0.336295785701086,0.254737405325229,0.680035923109012,1.62910209253338,1.62910209253338,0.842430140054022,NA,0.783740218157124,0.452648077545525,NA,0.520836361959672,0.727425275289284,0.597178072537807,2.91387230818759,1.27551988597378,0.17699339267508,0.758226915504993,0.665412540745007,0.478570441423506,0.697654148106545,0.376413614612887,0.65054814723231,0.783740218157124,0.461977249287383,0.723172100811402,NA,0.23546494817092,0.209672197042662,NA,3.08948282692671,0.548478376173924,NA,0.532830608889626,0.642712467340088,0.667246229619197,0.433112570700202,0.624632987657913,1.29351604144843,NA,0.642712467340088,0.643080507799915,0.0566957094387269,NA,0.566540949407317,0.0302592487277181,0.723172100811402,0.229972288174387,0.431165491284242,0.031825335036162,0.566540949407317,0.124437842256042,0.404803270710888,0.159124239211563,0.431165491284242,0.811517972964142,0.498128908490343,0.660690272224058,0.675873863685443,1.02816321169792,0.103315193167337,0.422724663164571,0.17699339267508,0.324913180581762,NA,0.195785869497198,0.463416611857527,NA,NA,0.566540949407317,0.134423022232441,0.532830608889626,0.0207010556447905,0.714732862239002,0.134423022232441,0.624632987657913,NA,0.124437842256042,0.721751544318237,0.0358595055049884,0.4271070868461,0.478570441423506,0.407503026843948,0.70552034302259,NA,0.650202087757434,NA,NA,0.169191119673314,0.577091363687623,0.212808570290012,0.324913180581762,0.194859510182093,NA,NA,NA,0.376413614612887,0.135444071997844,0.65054814723231,0.128244747262431,0.602113730844365,NA,0.674614072821488,0.59432719867243,NA,0.481537293198356,0.55914703695828,1.33707232790918,NA,0.598260889060607,0.159124239211563,0.674614072821488,NA,NA,1.17154963891776,0.254737405325229,2.2490957529887,NA,0.816218290875586,0.287462353120783,NA,NA,0.0201293990094894,0.516189735866152,2.97640575131738,0.117381643641248,0.584724132312387,0.203333840167339,NA,0.882909492521341,0.0777589697070529,0.364395995458617,NA,0.130001034732898,0.70552034302259,0.660690272224058,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s008",0.278372136890637,0.380132457530753,0.139109809458758,NA,1.46348115454363,0.0318642818012701,0.701096800055208,0,0.541972560843645,2.37050533725129,0.219559506856852,0.541972560843645,0.634202271064409,NA,0.644904294457673,2.10073180795064,0.364801014354122,0.446359394729979,0.0210608769461942,2.33019889258858,2.33019889258858,0.141333339998814,NA,0.0826434181019166,0.248448722509684,NA,0.180260438095536,0.0263284752340798,1.29827487259302,2.21277550813238,0.574423085918576,0.524103407380127,0.0571301154497877,1.36650934080022,1.17966724147871,0.00344265194863833,0.324683185442321,0.0505486528228955,0.0826434181019166,0.239119550767825,1.42426890086661,NA,0.465631851884288,0.910768997097871,NA,2.3883860268715,0.152618423881284,NA,0.168266191165583,0.0583843327151197,1.36834302967441,0.267984229355007,0.0764638123972957,0.592419241393226,NA,0.0583843327151197,1.34417730785512,0.644401090616481,NA,0.134555850647892,0.731356048782932,1.42426890086661,0.471124511880821,1.13226229133945,0.669271465019045,0.134555850647892,0.825534642311251,1.1059000707661,0.541972560843645,1.13226229133945,0.110421172908934,1.19922570854555,0.040406527831155,0.0252229363697667,1.72926001175313,0.59778160688787,0.278372136890637,0.524103407380127,0.376183619473446,NA,0.505310930558011,0.237680188197682,NA,NA,0.134555850647892,0.566673777822767,0.168266191165583,0.680395744410414,0.0136360621837966,0.566673777822767,0.0764638123972957,NA,0.825534642311251,0.0206547442630294,0.665237294550217,1.12820388690131,1.17966724147871,0.29359377321126,1.4066171430778,NA,1.35129888781264,NA,NA,0.531905680381894,0.124005436367585,0.488288229765196,0.376183619473446,0.506237289873115,NA,NA,NA,0.324683185442321,0.836540872053052,0.0505486528228955,0.572852052792778,0.0989830692108426,NA,1.3757108728767,0.106769601382779,NA,0.219559506856852,0.141949763096928,0.635975527853968,NA,0.102835910994602,0.541972560843645,1.3757108728767,NA,NA,1.87264643897297,0.446359394729979,1.5479989529335,NA,0.115121490820378,0.988559153175991,NA,NA,0.721226199064704,0.184907064189056,2.27530895126217,0.58371515641396,0.116372667742821,0.49776295988787,NA,0.181812692466133,0.623337830348154,0.336700804596592,NA,0.57109576532231,1.4066171430778,0.040406527831155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s009",0.263600423953008,0.161840103312892,0.402862751384887,NA,0.921508593699983,0.510108279042374,0.159124239211563,0.541972560843645,0,2.91247789809494,0.322413053986793,0,0.0922297102207651,NA,0.102931733614029,1.55875924710699,0.177171546489523,0.0956131661136663,0.520911683897448,1.78822633174494,1.78822633174494,0.683305900842459,NA,0.624615978945561,0.293523838333961,NA,0.361712122748109,0.568301036077721,0.756302311749371,2.75474806897603,1.11639564676222,0.017869153463522,0.59910267629343,0.82453677995657,0.637694680635069,0.538529908894982,0.217289375401324,0.491423908020746,0.624615978945561,0.30285301007582,0.882296340022966,NA,0.0763407089593574,0.368796436254226,NA,2.93035858771515,0.389354136962361,NA,0.373706369678063,0.483588228128525,0.82637046883076,0.27398833148864,0.46550874844635,1.13439180223687,NA,0.483588228128525,0.802204747011479,0.102428529772836,NA,0.407416710195754,0.189383487939287,0.882296340022966,0.0708480489628245,0.590289730495805,0.127298904175401,0.407416710195754,0.283562081467606,0.563927509922451,0,0.590289730495805,0.652393733752579,0.657253147701907,0.501566033012495,0.516749624473879,1.18728745090948,0.0558090460442234,0.263600423953008,0.017869153463522,0.165788941370199,NA,0.0366616302856389,0.304292372645964,NA,NA,0.407416710195754,0.0247012169791211,0.373706369678063,0.138423183566768,0.55560862302744,0.0247012169791211,0.46550874844635,NA,0.283562081467606,0.562627305106674,0.123264733706572,0.586231326057663,0.637694680635069,0.248378787632385,0.864644582234153,NA,0.809326326968997,NA,NA,0.0100668804617623,0.417967124476059,0.0536843310784487,0.165788941370199,0.0357352709705314,NA,NA,NA,0.217289375401324,0.294568311209407,0.491423908020746,0.0308794919491369,0.442989491632802,NA,0.833738312033051,0.435202959460867,NA,0.322413053986793,0.400022797746717,1.17794808869761,NA,0.439136649849044,0,0.833738312033051,NA,NA,1.33067387812932,0.0956131661136663,2.08997151377714,NA,0.657094051664023,0.446586592332346,NA,NA,0.179253638221059,0.357065496654589,2.81728151210581,0.041742595570315,0.425599893100824,0.0442096009557755,NA,0.723785253309777,0.081365269504509,0.205271756247053,NA,0.0291232044786613,0.864644582234153,0.501566033012495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s010",2.64887747414193,2.75063779478205,2.50961514671005,NA,2.44919881538466,2.40236961905257,3.07160213730651,2.37050533725129,2.91247789809494,0,2.59006484410815,2.91247789809494,3.0047076083157,NA,3.01540963170897,1.81194816197766,2.73530635160542,2.81686473198127,2.39156621419749,1.58248107733971,1.58248107733971,2.22917199725248,NA,2.28786191914938,2.61895405976098,NA,2.55076577534683,2.34417686201722,2.61440509733528,0.157729829118911,1.79608225133272,2.89460874463142,2.31337522180151,2.54617062912808,2.73301272844958,2.37394798919996,2.69518852269362,2.42105399007419,2.28786191914938,2.60962488801912,2.48841106906168,NA,2.83613718913558,3.00191097283042,NA,0.0178806896201987,2.52312376113258,NA,2.53877152841688,2.42888966996642,2.54433694025389,2.6384895666063,2.44696914964859,1.77808609585807,NA,2.42888966996642,2.56850266207317,3.01490642786778,NA,2.50506118789919,3.10186138603423,2.48841106906168,2.84162984913212,2.78041767858884,3.03977680227034,2.50506118789919,3.08714532761704,2.8067798991622,2.91247789809494,2.78041767858884,2.26008416434236,2.71345426138274,2.41091186508245,2.39572827362106,2.18341995817517,2.96828694413917,2.64887747414193,2.89460874463142,2.74668895672474,NA,2.87581626780931,2.60818552544898,NA,NA,2.50506118789919,2.93717911507406,2.53877152841688,3.05090108166171,2.3568692750675,2.93717911507406,2.44696914964859,NA,3.08714532761704,2.34985059298827,3.03574263180151,2.78447608302698,2.73301272844958,2.66409911046256,2.50606282685049,NA,2.56138108211565,NA,NA,2.90241101763319,2.49451077361888,2.85879356701649,2.74668895672474,2.87674262712441,NA,NA,NA,2.69518852269362,3.07613909787524,2.42105399007419,2.94335739004407,2.46948840646214,NA,2.5369690970516,2.47727493863407,NA,2.59006484410815,2.51245510034822,1.73452980939733,NA,2.4733412482459,2.91247789809494,2.5369690970516,NA,NA,2.04003353095532,2.81686473198127,0.822506384317798,NA,2.25538384643092,2.9241208167523,NA,NA,3.091731536316,2.55541240144035,0.0951963859891281,2.95422049366525,2.48687800499412,2.86826829713916,NA,2.18869264478516,2.99384316759945,2.70720614184789,NA,2.94160110257361,2.50606282685049,2.41091186508245,NA,NA,NA,NA,NA,NA,NA,NA,NA
