"","t1","t2","t3"
"s001",1,1,1
"s002",1,1,1
"s003",2,3,3
"s004",1,1,1
"s005",1,1,1
"s006",3,3,4
"s007",1,1,1
"s008",1,1,1
"s009",1,NA,NA
"s010",2,2,3
"s011",1,1,1
"s012",1,2,3
"s013",1,1,1
"s014",1,2,1
"s015",1,1,2
"s016",3,NA,2
"s017",1,1,NA
"s018",1,1,1
"s019",3,2,3
"s020",1,1,1
"s021",1,1,1
"s022",1,1,1
"s023",1,1,1
"s024",1,1,NA
"s025",1,NA,NA
"s026",1,1,1
"s027",1,1,1
"s028",2,2,2
"s029",3,3,3
"s030",3,NA,3
"s031",1,1,NA
"s032",1,1,3
"s033",1,1,1
"s034",1,2,3
"s035",2,2,2
"s036",2,3,3
"s037",1,1,1
"s038",1,1,1
"s039",1,1,1
"s040",1,1,NA
"s041",2,3,2
"s042",1,1,4
"s043",1,1,2
"s044",3,2,3
"s045",3,3,3
"s046",1,1,2
"s047",1,3,2
"s048",NA,1,2
"s049",1,1,3
"s050",1,1,3
"s051",3,3,4
"s052",1,3,3
"s053",1,1,1
"s054",1,1,1
"s055",1,1,1
"s056",1,1,1
"s057",1,1,3
"s058",2,2,3
"s059",1,1,1
"s060",2,1,2
"s061",1,1,1
"s062",1,1,3
"s063",3,NA,NA
"s064",4,3,3
"s065",3,3,4
"s066",1,1,2
"s067",2,3,NA
"s068",1,1,1
"s069",1,3,3
"s070",1,1,1
"s071",3,2,2
"s072",3,3,3
"s073",1,1,1
"s074",3,4,4
"s075",2,3,4
"s076",1,1,2
"s077",1,1,1
"s078",2,2,2
"s079",1,1,2
"s080",1,1,4
"s081",3,3,4
"s082",1,1,1
"s083",1,1,1
"s084",1,1,1
"s085",2,2,2
"s086",2,2,1
"s087",1,1,3
"s088",1,1,1
"s089",1,1,1
"s090",1,1,2
"s091",1,1,1
"s092",1,1,1
"s093",1,1,1
"s094",1,NA,NA
"s095",1,1,1
"s096",1,1,NA
"s097",1,1,1
"s098",3,3,3
"s099",2,2,3
"s100",2,1,2
"s101",2,2,4
"s102",2,NA,NA
"s103",1,NA,NA
"s104",1,NA,NA
"s105",1,1,1
"s106",1,3,3
"s107",1,1,3
"s108",1,1,2
"s109",1,2,3
"s110",1,1,1
"s111",1,2,4
"s112",1,1,1
"s113",2,2,3
"s114",1,1,3
"s115",1,1,3
"s116",1,1,1
"s117",1,2,2
"s118",1,1,NA
"s119",1,1,NA
"s120",1,1,1
"s121",1,1,1
"s122",2,1,2
"s123",1,1,3
"s124",2,NA,NA
"s125",1,1,1
"s126",3,3,3
"s127",1,1,2
"s128",4,3,NA
"s129",3,2,NA
"s130",1,1,1
"s131",3,3,3
"s132",1,1,1
"s133",2,NA,NA
"s134",1,1,1
"s135",1,1,1
"s136",NA,1,2
"s137",1,1,1
"s138",1,1,1
"s139",1,1,1
"s140",1,1,2
"s141",1,1,1
"s142",1,1,2
"s143",1,1,1
"s144",4,3,3
"s145",1,NA,NA
"s146",1,2,2
"s147",1,1,1
"s148",1,1,1
"s149",2,3,3
"s150",1,1,3
"s151",1,2,1
"s152",2,2,3
"s153",NA,4,NA
"s154",NA,2,3
"s155",NA,4,NA
"s156",NA,1,NA
"s157",NA,3,4
"s158",NA,1,NA
"s159",NA,NA,2
"s160",NA,NA,2
