"","s001","s002","s003","s004","s005","s006","s007","s008","s009","s010","s011","s012","s013","s014","s015","s016","s017","s018","s019","s020","s021","s022","s023","s024","s025","s026","s027","s028","s029","s030","s031","s032","s033","s034","s035","s036","s037","s038","s039","s040","s041","s042","s043","s044","s045","s046","s047","s048","s049","s050","s051","s052","s053","s054","s055","s056","s057","s058","s059","s060","s061","s062","s063","s064","s065","s066","s067","s068","s069","s070","s071","s072","s073","s074","s075","s076","s077","s078","s079","s080","s081","s082","s083","s084","s085","s086","s087","s088","s089","s090","s091","s092","s093","s094","s095","s096","s097","s098","s099","s100","s101","s102","s103","s104","s105","s106","s107","s108","s109","s110","s111","s112","s113","s114","s115","s116","s117","s118","s119","s120","s121","s122","s123","s124","s125","s126","s127","s128","s129","s130","s131","s132","s133","s134","s135","s136","s137","s138","s139","s140","s141","s142","s143","s144","s145","s146","s147","s148","s149","s150","s151","s152","s153","s154","s155","s156","s157","s158","s159","s160"
"s001",0,0.889955055044916,2.29825259708327,0.359649829695497,NA,1.04976235405924,2.13526672806935,0.870979333853565,NA,0.472784306000104,0.549534348335024,2.01552896282837,1.76010226975594,NA,0.664223606927667,1.043396377222,NA,1.58532551862386,5.17069753514939,4.70663584739674,4.70663584739674,NA,NA,NA,NA,NA,0.396127504725436,1.30590045562439,3.1842388415444,NA,NA,1.57285282210384,1.10546279901225,2.86667560076127,0.792556622582892,0.534626972757641,0.645316976376726,0.767844385276079,0.979479453587465,NA,3.14535117276275,1.75036710435268,1.66375749434826,2.05627089655035,NA,0.849445113000246,2.35905510745298,NA,0.79987999099865,1.60377959832391,3.09377471707298,0.220601450584533,1.20376825012126,0.371651718682963,NA,1.60377959832391,NA,0.303981907356343,6.14100846767044,1.06014715959625,0.296325834175827,3.14535117276275,NA,0.382099463490856,0.780621547230154,1.06014715959625,NA,0.341247710615031,2.01552896282837,0.448653541165118,0.408050242004585,1.29559754553642,0.330092411303259,1.54314289681805,0.660625461210813,2.07126289977878,0,1.57285282210384,0.103392456204503,2.20990701161836,0.101242283656583,2.27510219550683,2.79460193945399,2.16825136919131,1.06014715959625,2.36910215060474,0.79987999099865,1.11548375156252,0.901734439843572,3.10708496826205,1.20376825012126,NA,0.487878058535122,NA,1.56936452107214,NA,1.05773342577419,NA,0.399664859601141,NA,2.75579117496228,NA,NA,NA,3.0106374740244,1.27056286739382,NA,1.40236122308056,NA,0.62837090957491,NA,0.645316976376726,0.791784061471308,0.767844385276079,1.6704885512927,0.577007798907432,1.48328554230128,2.79460193945399,NA,NA,0.549534348335024,0.342940228028151,0.367239703735857,NA,1.12151058844756,1.99609143077165,2.79460193945399,NA,NA,0.805854825635486,1.58532551862386,0.572758238701112,NA,0.359484352927913,1.00199101792381,NA,NA,2.00374449468988,0.932011266026329,0.701601738880399,1.64540876380309,2.67208401814015,1.5182437222001,NA,NA,NA,4.29778233511191,1.58109139520775,1.45091867449558,NA,0.330092411303259,NA,NA,1.23624957027293,NA,NA,NA,NA,3.12097709059198,2.83473049865415
"s002",0.889955055044916,0,1.47942860591513,0.633075035047189,NA,0.50581913763716,1.33734363571971,0.495964716486969,NA,1.06906735054439,0.38517528477305,1.14793248930414,0.942899782585615,NA,0.413943232823053,1.67548202019598,NA,0.699306084629613,4.37809833146767,5.12838931829478,5.12838931829478,NA,NA,NA,NA,NA,0.53763649429703,0.72560319734687,2.79354846029204,NA,NA,0.709203778895742,0.64227408479558,2.56384340395431,0.954736612893839,0.567839766131256,0.251017927646613,0.434967814901287,0.623416393753004,NA,2.87344009855782,0.896627570399215,0.780600409940963,1.41963727761707,NA,1.73793124144772,1.50628848498553,NA,0.286027970660214,0.878836162205448,2.77389149030743,0.674258852370512,0.540068514172045,1.25970036119706,NA,0.878836162205448,NA,0.701992165198444,5.27379645037614,0.383692585281499,0.77487611913131,2.87344009855782,NA,1.25491832403547,0.392502229293032,0.383692585281499,NA,1.06252623497022,1.14793248930414,0.868167034619491,0.515756725598416,1.14491091356489,0.675290307941703,0.856487010993162,1.32100340650583,1.22318028107062,0.889955055044916,0.709203778895742,0.794713784956572,1.32311488541245,0.884516817251091,1.41423123993214,2.50708196914261,1.28058502255805,0.383692585281499,1.50435268471193,0.286027970660214,0.460317281882834,0.517556760172254,2.22316283704096,0.540068514172045,NA,0.693401038360918,NA,0.789020278573371,NA,0.462328887265332,NA,1.24064499354167,NA,2.44900163331918,NA,NA,NA,2.6141052006375,0.404991357932487,NA,0.538000929367227,NA,1.5183049759518,NA,0.251017927646613,0.588837838458094,0.434967814901287,0.824824829888141,0.45690480408943,0.634012618170963,2.50708196914261,NA,NA,0.38517528477305,1.23133261144177,1.17397487196277,NA,0.45679098064651,1.11879980336073,2.50708196914261,NA,NA,1.43801043111655,0.699306084629613,1.44499411763509,NA,0.771806322855676,0.786588837957926,NA,NA,1.22556925548906,0.266557686064386,1.59034870390113,0.806539521660284,1.85735753154852,0.646334278837197,NA,NA,NA,3.41216133850672,0.788219512572481,0.617919897721379,NA,0.675290307941703,NA,NA,0.347828980966221,NA,NA,NA,NA,2.58285152496228,2.17153885528212
"s003",2.29825259708327,1.47942860591513,0,2.10605341812595,NA,1.28052879702098,1.47356201091098,1.47103365019295,NA,2.26842015508591,1.75001057139664,1.07520602676882,1.3214359613693,NA,1.88113423231836,3.15337676150504,NA,1.01477977906539,2.89875697498083,6.47055499937988,6.47055499937988,NA,NA,NA,NA,NA,1.90254145815538,1.07588335799008,3.40142381952029,NA,NA,1.15920015527949,1.28535948279071,3.33856256493719,2.39285122813768,1.80204245233013,1.6793072976677,1.55151861090997,1.42134619287491,NA,3.6461465960655,0.59502100803249,1.00721000789309,1.95660547888428,NA,3.09823756351898,0.214032707780844,NA,1.49838746657865,0.728237598589911,3.49270854781787,2.07986249545493,1.10956793392744,2.63941281348712,NA,0.728237598589911,NA,2.17150869213089,3.86432400297905,1.23950030254131,2.24632143737267,3.6461465960655,NA,2.68008302110214,1.82388184924353,1.23950030254131,NA,2.52913918161892,1.07520602676882,2.34757853968722,1.98160591440377,2.39300313413919,1.99737627902206,0.812205023377718,2.79982588744372,1.211599356223,2.29825259708327,1.15920015527949,2.21981102799315,0.863411836842651,2.32123350828821,0.269245241369277,3.31167284012174,0.838716280991373,1.23950030254131,1.17341382299681,1.49838746657865,1.63837633039543,1.44840947249043,1.36980071543272,1.10956793392744,NA,2.17171314864556,NA,1.42947542826031,NA,1.70202379536833,NA,2.68453739031514,NA,3.23711291122197,NA,NA,NA,3.24163369306281,1.27817252356636,NA,1.21961715304435,NA,2.90337476051577,NA,1.6793072976677,2.00450517584765,1.55151861090997,1.21504115156648,1.72994364070047,0.846201512643413,3.31167284012174,NA,NA,1.75001057139664,2.63488462745525,2.47826148741411,NA,1.18346482837472,0.990935921238099,3.31167284012174,NA,NA,2.917281782756,1.01477977906539,2.77949078070067,NA,2.04146222105627,2.11680348639169,NA,NA,1.50789290070615,1.36686502625534,2.95781169109867,1.24512850742403,0.378047616048561,1.13997587693775,NA,NA,NA,2.12596142956546,0.71717849939886,1.30011461033249,NA,1.99737627902206,NA,NA,1.2128940596771,NA,NA,NA,NA,2.96282044680402,0.932249966478948
"s004",0.359649829695497,0.633075035047189,2.10605341812595,0,NA,0.950960041221502,1.79071605789416,0.810015431951762,NA,0.768344323854872,0.423480814205319,1.69938018112487,1.42461924737805,NA,0.315158690186388,1.0695830963511,NA,1.29448561212553,5.00227958035134,4.6453745812367,4.6453745812367,NA,NA,NA,NA,NA,0.357498251743977,1.2152316651569,2.85119360970103,NA,NA,1.26057843865426,1.04588527095471,2.54796173440654,0.529990565953772,0.550463441111215,0.435166634750414,0.695785167993685,0.946881196349363,NA,2.83516384006286,1.52888357960964,1.3670790028378,1.69666083823491,NA,1.17273910142026,2.13918512522876,NA,0.657124036997582,1.45981128917405,2.77324683358694,0.260739333434754,1.07091082728675,0.708528757355691,NA,1.45981128917405,NA,0.0724499827467198,5.90447296547287,0.909182049976791,0.141876707038189,2.83516384006286,NA,0.654574671065112,0.429923248964277,0.909182049976791,NA,0.430304543317869,1.69938018112487,0.269714664043318,0.129541499142167,0.97878547189872,0.42697189603064,1.41617301202925,0.69795272046178,1.74348214788681,0.359649829695497,1.26057843865426,0.26054174329654,1.91384665007414,0.301559281070903,2.04728356609435,2.47844225270632,1.87463969871546,0.909182049976791,2.04803247044572,0.657124036997582,0.768023437142383,0.843630843438053,2.80120777522839,1.07091082728675,NA,0.169366466574703,NA,1.22774956729783,NA,0.706203936550909,NA,0.622729475775798,NA,2.43539750348891,NA,NA,NA,2.67569542362355,0.968335685596684,NA,1.09478628051323,NA,0.942835086322099,NA,0.435166634750414,0.434513521078458,0.695785167993685,1.34687787122664,0.519924994590566,1.26428635996755,2.47844225270632,NA,NA,0.423480814205319,0.655893284002817,0.723696759699807,NA,0.981554888938973,1.68829647870272,2.47844225270632,NA,NA,0.825335083466104,1.29448561212553,0.922366521508668,NA,0.530212221662232,0.656787636911658,NA,NA,1.65617994191453,0.766256484475009,1.02652861625967,1.31938243129125,2.48401630429432,1.21289900651291,NA,NA,NA,4.03162262618911,1.40009213982509,1.12706033556327,NA,0.42697189603064,NA,NA,0.958520213662706,NA,NA,NA,NA,2.76796712408222,2.73883278058373
"s005",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s006",1.04976235405924,0.50581913763716,1.28052879702098,0.950960041221502,NA,0,1.65144815238021,0.190520340121468,NA,0.992630847797911,0.533127564472144,1.35951829704495,1.26759812243471,NA,0.8601976517057,2.01544461595947,NA,0.895868293891463,4.12419810387425,5.57492708472497,5.57492708472497,NA,NA,NA,NA,NA,0.659989393854174,0.264682829061501,3.26934641786397,NA,NA,0.987216794832827,0.138827230758234,3.05670181731879,1.39664490834285,0.527538624178363,0.534349136801025,0.28202836736754,0.187555325171001,NA,3.36829942255732,0.808843619001844,0.979943875943924,1.84610969338228,NA,1.8197323979091,1.37692120326473,NA,0.298584996274093,0.561262861767995,3.26280324261209,0.843071764442387,0.174942847810363,1.3689799121974,NA,0.561262861767995,NA,1.00059582249778,5.14460047039612,0.154081147451594,1.07455386091159,3.36829942255732,NA,1.429,0.876753671221284,0.154081147451594,NA,1.32949802557206,1.35951829704495,1.21970857174983,0.822503495433302,1.64680842844576,0.730152038961749,0.494365249587792,1.63461218642221,1.4727813822832,1.04976235405924,0.987216794832827,0.986959472318899,1.43941168537705,1.09237402019638,1.30998664115326,3.0022719730231,1.39240116345829,0.154081147451594,1.69744808462586,0.298584996274093,0.950739186107315,0.169162643630324,2.31793356246464,0.174942847810363,NA,1.07406703701398,NA,1.1716492649253,NA,0.96341943098528,NA,1.44805421169237,NA,2.94218864113095,NA,NA,NA,3.09041955080536,0.751010652387834,NA,0.849903523936688,NA,1.63101839351983,NA,0.534349136801025,1.06722115796118,0.28202836736754,1.12153689194783,0.473447990807861,0.577509307284307,3.0022719730231,NA,NA,0.533127564472144,1.3732170258193,1.19806928013367,NA,0.134629120178363,1.30176802849048,3.0022719730231,NA,NA,1.76954937766653,0.895868293891463,1.49984032483461,NA,0.762911528291453,1.2839458711332,NA,NA,1.56829875980312,0.239920820272022,1.68112581325729,1.11729718517501,1.64447499220876,0.914210588431353,NA,NA,NA,3.3632261297748,0.580069823383358,0.968390417135568,NA,0.730152038961749,NA,NA,0.628211747741158,NA,NA,NA,NA,3.01907817056796,1.79619598039858
"s007",2.13526672806935,1.33734363571971,1.47356201091098,1.79071605789416,NA,1.65144815238021,0,1.75581120853012,NA,2.40084755867589,1.71554772594644,0.40544420084643,0.395337830216133,NA,1.47582146616723,2.52741765444495,NA,0.768937578740953,3.96289654167252,5.2772573369128,5.2772573369128,NA,NA,NA,NA,NA,1.85457731033246,1.69139587323607,1.92786851211383,NA,NA,0.664687896685354,1.77024857011664,1.8848408420872,1.71596328632054,1.90510104718884,1.571797060692,1.73916560453569,1.83349284154588,NA,2.18569211006491,1.13223363313408,0.694041065067479,0.532685648389367,NA,2.9620697155874,1.31482508342365,NA,1.5938193122183,1.51694594498288,2.02605281273712,1.94923497813886,1.53828280884888,2.4982091585774,NA,1.51694594498288,NA,1.85986585537775,4.48603221120848,1.50137670156427,1.90922104534808,2.18569211006491,NA,2.43685124699888,1.36086222667837,1.50137670156427,NA,2.16773660761634,0.40544420084643,1.89354957685295,1.72783129963547,1.40166508125158,1.99697896834193,1.58328329745501,2.29686090131727,0.262834548718391,2.13526672806935,0.664687896685354,2.03189812736761,0.632870444877939,2.09171556383749,1.21863940523848,1.8662143499609,0.644864326816114,1.50137670156427,0.440927431671018,1.5938193122183,1.02269643589875,1.76234758206206,1.17492850846339,1.53828280884888,NA,1.73212499548964,NA,0.566516548743283,NA,1.08640508098959,NA,2.38858786733919,NA,1.78963823159878,NA,NA,NA,1.76904776645516,0.940651901608666,NA,0.816711087227301,NA,2.73125502287868,NA,1.571797060692,1.41801339909043,1.73916560453569,0.531300291737168,1.79419341209358,1.16633614365671,1.8662143499609,NA,NA,1.71554772594644,2.44623874550298,2.47068350866719,NA,1.52320254726678,0.492849875722821,1.8662143499609,NA,NA,2.35375657195046,0.768937578740953,2.70772819906282,NA,2.10151397806439,1.34033204841189,NA,NA,0.145230850717057,1.49960028007466,2.81665848125043,0.540201814139864,1.71636971541682,0.737631344236401,NA,NA,NA,2.5400568891267,1.33928115046841,0.719886796656252,NA,1.99697896834193,NA,NA,1.04097502371575,NA,NA,NA,NA,1.50974501158308,2.40575663773375
"s008",0.870979333853565,0.495964716486969,1.47103365019295,0.810015431951762,NA,0.190520340121468,1.75581120853012,0,NA,0.804543348738898,0.386793226414321,1.49206434177618,1.3639857037374,NA,0.774603124186832,1.86044537678482,NA,1.02242163513885,4.30984964934973,5.45278002490473,5.45278002490473,NA,NA,NA,NA,NA,0.490652626610721,0.435105734276164,3.28950452196072,NA,NA,1.09337870840802,0.239409690697766,3.0560739519848,1.289730592023,0.341093828733385,0.431978008699517,0.114236596587959,0.144170038496215,NA,3.36425519246088,0.988761852014933,1.10838440985066,1.9017268468421,NA,1.62959135982,1.56536321663696,NA,0.217947241322298,0.750744963353068,3.26773331225178,0.671886895243537,0.363407484788082,1.18132129414482,NA,0.750744963353068,NA,0.851944833894777,5.33503327074911,0.279630112827642,0.923465213205132,3.36425519246088,NA,1.24712669765345,0.815012269846289,0.279630112827642,NA,1.16440757469195,1.49206434177618,1.07947440914549,0.685899409534664,1.59237307186476,0.546131852211533,0.680817890481735,1.47611551038528,1.59612562162256,0.870979333853565,1.09337870840802,0.814928831248472,1.59531438907822,0.920404802247359,1.49646817540501,2.99793812477843,1.54871333693489,0.279630112827642,1.83828180647038,0.217947241322298,0.956211796622485,0.0336154726279432,2.48337874678833,0.363407484788082,NA,0.948600021083702,NA,1.24396945300116,NA,0.954235295930726,NA,1.27053256550157,NA,2.94113583501341,NA,NA,NA,3.11005739496878,0.825460477551772,NA,0.940583861226632,NA,1.44252729610223,NA,0.431978008699517,0.992941589420042,0.114236596587959,1.2249526521462,0.302689609996775,0.745161056416665,2.99793812477843,NA,NA,0.386793226414321,1.18826301802253,1.00759118694042,NA,0.303698864008412,1.4408532194502,2.99793812477843,NA,NA,1.61433608644545,1.02242163513885,1.3094674490036,NA,0.573149195236284,1.22522038833836,NA,NA,1.6613768386492,0.259268200904006,1.49145901720429,1.21594613367534,1.83471959710469,1.02123111977652,NA,NA,NA,3.5494117822535,0.767935544170212,1.04945795532742,NA,0.546131852211533,NA,NA,0.715320907006079,NA,NA,NA,NA,3.07082090002006,1.96516513301046
"s009",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s010",0.472784306000104,1.06906735054439,2.26842015508591,0.768344323854872,NA,0.992630847797911,2.40084755867589,0.804543348738898,NA,0,0.685779118958867,2.21048456226231,2.0087570783945,NA,1.01145835307243,1.44322590054364,NA,1.74802517144348,5.06075271081289,5.11242564738109,5.11242564738109,NA,NA,NA,NA,NA,0.550528836665256,1.20012541011346,3.61890066180325,NA,NA,1.77666569731055,0.986961498742479,3.31533316576178,1.25838030817396,0.515946702673832,0.829053074296212,0.747181370217433,0.849402731335378,NA,3.60012347010488,1.78989385160126,1.83306137376794,2.40637175016663,NA,0.871046497036754,2.3694969930346,NA,0.857002333719109,1.54135135514262,3.54102767568964,0.515373650859258,1.16722448569245,0.516768807108169,NA,1.54135135514262,NA,0.737197395546132,6.13192058004668,1.06975557956012,0.754131288304629,3.60012347010488,NA,0.666126864793787,1.12010044192474,1.06975557956012,NA,0.787048283144052,2.21048456226231,0.918751870746395,0.748772328548538,1.74413818259907,0.408394417199844,1.4623422991899,1.08309787184723,2.29157696794151,0.472784306000104,1.77666569731055,0.532451875759678,2.35741256465643,0.573955573193605,2.30095306340655,3.24516640559463,2.31220003459908,1.06975557956012,2.56622095697155,0.857002333719109,1.42331619817945,0.823468275041607,3.25660743719595,1.16722448569245,NA,0.926779369645225,NA,1.84087207594662,NA,1.38087110187736,NA,0.739389613126936,NA,3.20306884097111,NA,NA,NA,3.44298315418475,1.47390128570403,NA,1.6064034362513,NA,0.731248931623151,NA,0.829053074296212,1.19035162872153,0.747181370217433,1.89388938430944,0.621637354089987,1.53738771947743,3.24516640559463,NA,NA,0.685779118958867,0.572986038224318,0.271679958775026,NA,1.1064813599876,2.17388960161274,3.24516640559463,NA,NA,1.22480080013037,1.74802517144348,0.552916811102719,NA,0.299456173755025,1.42325717985191,NA,NA,2.28213868991348,0.985317207806704,0.751172416958983,1.87523465198359,2.6246481668978,1.71136466014698,NA,NA,NA,4.35365800218621,1.57226747088401,1.68468394662026,NA,0.408394417199844,NA,NA,1.40164831537729,NA,NA,NA,NA,3.51732753663915,2.65603689733407
