"","smoking.at.home","parent.smoking","sibling.smoking"
"s001",1,1,1
"s002",1,1,1
"s003",2,2,1
"s004",1,1,1
"s005",1,1,1
"s006",2,1,2
"s007",2,2,1
"s008",1,1,1
"s009",2,2,1
"s010",1,1,1
"s011",1,1,1
"s012",1,1,1
"s013",1,1,1
"s014",2,2,1
"s015",2,2,1
"s016",2,2,1
"s017",2,2,2
"s018",2,2,2
"s019",2,1,2
"s020",1,1,1
"s021",1,1,1
"s022",1,1,1
"s023",2,2,1
"s024",2,2,1
"s025",2,2,1
"s026",2,2,1
"s027",1,1,1
"s028",2,2,1
"s029",2,2,2
"s030",2,2,1
"s031",1,1,1
"s032",2,2,1
"s033",1,1,1
"s034",2,2,1
"s035",1,1,1
"s036",1,1,1
"s037",1,1,1
"s038",1,1,1
"s039",1,1,1
"s040",2,2,1
"s041",2,2,1
"s042",1,1,1
"s043",2,2,1
"s044",1,1,1
"s045",1,1,1
"s046",2,1,2
"s047",2,2,1
"s048",2,2,NA
"s049",2,2,1
"s050",2,2,1
"s051",2,2,2
"s052",1,1,1
"s053",2,2,1
"s054",2,2,2
"s055",2,2,1
"s056",2,2,1
"s057",1,1,1
"s058",2,1,1
"s059",2,2,1
"s060",1,1,1
"s061",2,2,1
"s062",1,1,1
"s063",2,2,2
"s064",2,2,2
"s065",2,2,2
"s066",2,2,1
"s067",2,2,2
"s068",1,1,1
"s069",2,2,1
"s070",2,2,1
"s071",1,1,1
"s072",2,1,2
"s073",1,1,1
"s074",1,1,1
"s075",1,1,1
"s076",2,2,1
"s077",2,2,1
"s078",2,2,1
"s079",1,1,1
"s080",1,1,1
"s081",1,1,1
"s082",1,1,1
"s083",1,1,1
"s084",1,1,1
"s085",2,2,1
"s086",2,2,1
"s087",2,1,2
"s088",2,2,1
"s089",1,1,1
"s090",1,1,1
"s091",2,2,1
"s092",2,2,1
"s093",2,2,1
"s094",1,1,1
"s095",2,2,1
"s096",2,2,1
"s097",1,1,1
"s098",1,1,1
"s099",2,2,1
"s100",2,2,1
"s101",2,2,2
"s102",2,1,1
"s103",2,2,1
"s104",2,2,1
"s105",2,2,1
"s106",1,1,1
"s107",2,2,1
"s108",1,1,1
"s109",2,2,1
"s110",1,1,1
"s111",2,2,1
"s112",1,1,1
"s113",2,2,1
"s114",2,2,1
"s115",2,2,1
"s116",2,2,1
"s117",2,2,1
"s118",1,1,1
"s119",1,1,1
"s120",2,2,1
"s121",1,1,1
"s122",2,2,1
"s123",1,1,1
"s124",2,2,1
"s125",2,2,1
"s126",1,1,1
"s127",2,2,1
"s128",2,2,2
"s129",1,1,1
"s130",1,1,1
"s131",2,2,1
"s132",2,2,2
"s133",1,1,1
"s134",1,1,1
"s135",2,2,1
"s136",2,2,NA
"s137",1,1,1
"s138",2,2,1
"s139",1,1,1
"s140",2,2,2
"s141",2,2,1
"s142",1,1,1
"s143",2,2,1
"s144",2,1,2
"s145",1,1,1
"s146",1,1,1
"s147",1,1,1
"s148",2,2,2
"s149",2,2,1
"s150",2,2,1
"s151",2,2,2
"s152",2,2,1
"s153",2,1,NA
"s154",1,1,NA
"s155",2,2,NA
"s156",2,2,NA
"s157",2,2,NA
"s158",1,1,NA
"s159",2,2,NA
"s160",1,1,NA
