"","I listen to tapes or CDs","I look around in the shops","I read comics, mags or books","I go to sport matches","I take part in sports","I hang round in the streets","I play computer games","I spend time on my hobby (eg art, an instrument)","I go to something like B.B., Guides or Scouts","I go to cinema","I go to pop concerts, gigs","I go to church, mosque or temple","I look after a pet animal","I go to dance clubs or raves","I do nothing much (am bored)"
"s001",1,2,1,4,2,1,2,2,2,2,4,2,4,3,4
"s002",4,3,4,3,1,4,2,2,4,3,4,4,4,4,3
"s003",1,2,2,4,4,1,1,4,4,3,4,4,4,4,1
"s004",1,2,1,4,2,1,2,4,4,3,4,4,4,4,4
"s005",1,1,1,1,1,1,1,4,2,3,3,4,1,4,4
"s006",1,3,1,4,4,2,2,1,4,2,3,4,4,4,4
"s007",1,2,1,4,4,4,4,2,2,3,4,4,1,4,2
"s008",1,1,1,1,4,4,1,2,4,3,4,4,4,4,4
"s009",1,2,1,3,2,1,1,2,2,3,4,3,1,4,4
"s010",1,1,4,1,1,1,4,1,4,2,4,4,1,4,4
"s011",1,2,2,4,1,4,2,1,4,3,4,4,1,4,4
"s012",1,2,2,4,2,1,4,4,4,3,3,4,4,4,4
"s013",1,2,3,4,2,1,2,1,4,4,4,4,2,4,4
"s014",1,2,2,2,2,3,2,2,1,2,3,4,1,2,4
"s015",1,1,1,4,2,1,4,4,4,4,4,4,1,4,4
"s016",1,2,3,4,2,1,2,4,4,4,4,4,1,4,4
"s017",1,2,4,4,4,4,1,4,2,2,1,4,1,4,1
"s018",1,1,2,4,4,4,1,4,4,2,4,4,4,4,4
"s019",1,2,1,2,1,1,1,2,2,4,4,2,2,4,4
"s020",2,3,1,4,2,4,2,1,4,2,4,4,1,4,2
"s021",3,3,2,4,4,4,2,4,4,2,4,4,2,4,1
"s022",1,2,1,2,1,1,1,2,4,3,4,4,2,4,4
"s023",1,4,1,4,4,4,1,1,4,4,4,2,1,4,4
"s024",1,2,2,3,1,4,1,1,4,3,4,4,1,4,4
"s025",1,2,1,4,4,1,1,2,2,2,4,4,1,3,4
"s026",1,1,4,4,2,4,1,3,4,3,4,3,4,4,4
"s027",1,2,1,4,1,2,1,1,4,3,3,4,1,3,4
"s028",1,2,1,3,2,1,1,4,4,2,3,4,1,3,1
"s029",4,2,4,2,3,1,4,4,4,3,3,4,4,3,4
"s030",1,1,2,4,4,1,4,4,4,2,3,4,1,2,4
"s031",1,1,1,1,1,4,1,1,4,2,4,4,4,4,4
"s032",4,1,1,2,1,4,1,1,2,3,4,2,4,4,4
"s033",1,2,2,4,2,1,4,4,4,3,4,4,4,3,4
"s034",1,1,1,4,1,1,2,4,4,3,4,4,4,4,4
"s035",1,1,1,3,1,2,1,1,2,3,4,2,4,4,4
"s036",1,2,2,2,1,1,4,2,4,4,4,4,1,4,3
"s037",1,2,2,4,2,4,1,1,4,2,4,4,1,4,4
"s038",1,4,3,4,4,4,1,3,4,3,4,4,1,4,4
"s039",1,2,1,4,4,3,1,2,2,3,4,4,1,3,4
"s040",1,2,1,3,1,2,1,2,4,3,4,4,4,3,1
"s041",1,2,1,3,3,1,4,4,4,3,4,4,4,3,4
"s042",1,2,4,2,2,1,2,4,4,3,4,4,4,4,4
"s043",1,2,2,4,2,2,3,2,4,3,4,4,1,4,2
"s044",1,2,2,3,1,1,3,4,1,3,4,2,1,4,3
"s045",1,2,1,3,2,2,2,1,2,3,4,3,1,3,4
"s046",1,2,2,4,2,4,2,2,4,2,4,4,4,2,4
"s047",4,1,1,4,1,1,4,4,4,4,4,2,1,4,4
"s048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s049",2,2,4,2,1,1,2,4,4,3,4,1,4,4,1
"s050",1,2,1,3,1,2,1,2,4,3,4,4,2,4,4
"s051",4,4,2,4,1,1,1,4,1,4,4,4,1,4,4
"s052",1,2,1,4,2,1,2,4,2,3,4,4,4,4,1
"s053",1,2,1,4,2,4,1,1,4,3,4,4,1,4,2
"s054",1,2,1,1,1,4,1,4,4,3,3,2,1,4,4
"s055",1,2,1,4,2,4,2,1,4,3,4,4,1,4,4
"s056",1,2,1,4,2,4,1,4,2,4,4,4,1,4,4
"s057",1,2,4,2,1,1,2,4,4,3,4,4,4,3,4
"s058",1,2,2,3,1,1,1,4,1,3,4,4,1,4,3
"s059",1,2,1,4,2,4,2,4,4,3,4,4,1,3,1
"s060",1,2,4,2,2,1,4,1,2,3,3,4,1,1,4
"s061",1,2,1,2,2,4,1,1,2,2,4,4,1,4,4
"s062",1,4,4,2,1,1,4,4,4,3,4,4,2,4,4
"s063",1,2,2,4,2,1,4,4,4,3,4,4,4,1,4
"s064",1,1,2,4,1,1,2,4,4,3,1,4,1,1,4
"s065",2,3,3,4,3,1,4,4,NA,4,4,NA,4,3,4
