"","t1","t2","t3"
"s001",6.2,5,12
"s002",4,5,12
"s003",8,25,17
"s004",5,5,7
"s005",3.5,3,10
"s006",5,8,30
"s007",5,5,5
"s008",8.5,10.5,11
"s009",2.5,-1,-1
"s010",5,8,10
"s011",3.5,0,-1
"s012",6,7,20
"s013",5,5,5
"s014",10,10,30
"s015",7,10,12
"s016",10,-1,20
"s017",1.5,-1,-1
"s018",1,10,7
"s019",1,10,20
"s020",1,0,0
"s021",-1,0,0
"s022",12.5,15,20
"s023",5,2,5
"s024",15,12.5,-1
"s025",20,-1,-1
"s026",7,8.5,7
"s027",27,20,25
"s028",8,10,40
"s029",20,25,30
"s030",10,-1,10
"s031",10,3,-1
"s032",10,15,10
"s033",6,5,10
"s034",16,25,25
"s035",10,10,6
"s036",7,12,25
"s037",7,17,22.5
"s038",5,5,15
"s039",2.5,2.5,7.5
"s040",3,3,-1
"s041",7.5,7.5,10.5
"s042",15,20,40
"s043",2,8,-1
"s044",5,5,7
"s045",7.5,9.5,20
"s046",10,20,25
"s047",3,10,7.5
"s048",-1,10,10
"s049",7.5,10,20
"s050",10,10,15
"s051",3,50,7
"s052",10,10,35
"s053",12.5,-1,10
"s054",5,10,5
"s055",5.5,4,15.53
"s056",6,8,10
"s057",5,7,12
"s058",13.5,15,25
"s059",-1,10,99.99
"s060",10.5,10,20
"s061",3,7,10
"s062",4.5,5,10
"s063",10,-1,-1
"s064",15,10,30
"s065",20,10,15
"s066",7.5,10,15
"s067",6,30,-1
"s068",1,3,3
"s069",3.5,5,5
"s070",5,6.75,10
"s071",10,20,17.5
"s072",10,10.5,20
"s073",3.5,5.7,5
"s074",10,15,30
"s075",10,10,13
"s076",7.5,20.5,12.5
"s077",21,40,5
"s078",30,17,25
"s079",25,25.5,20
"s080",5,10,20.01
"s081",5,4.5,10
"s082",5,10,10
"s083",2,5,5
"s084",10,10,40
"s085",10,5,5
"s086",10,10,10
"s087",20,10,10
"s088",4,5,10
"s089",10,20,30
"s090",1,22.5,18
"s091",7.5,7,5
"s092",0.5,3,5.5
"s093",30,20,30
"s094",4,-1,-1
"s095",6,7,10
"s096",10.5,10.5,-1
"s097",3.5,5,8
"s098",25,25,35
"s099",4,3,15
"s100",2.5,10,50
"s101",5,30,35
"s102",3.4,-1,-1
"s103",10,-1,-1
"s104",10,-1,-1
"s105",6,6,7
"s106",2.5,2.5,5
"s107",10,10,7
"s108",5.75,4,3
"s109",6.5,5,10
"s110",5,5,3
"s111",40,5,5
"s112",2.5,3,15
"s113",4,4,5
"s114",10,10,5
"s115",30,15,20
"s116",10,10,20
"s117",12,8,10
"s118",5,5,5
"s119",10,10.5,-1
"s120",6,15,70
"s121",5,7.5,16
"s122",6.5,6,10
"s123",20,5,30.35
"s124",5,-1,-1
"s125",12.5,16.5,20
"s126",15.5,25,30
"s127",5,8,10
"s128",5,10,-1
"s129",10,10,-1
"s130",2,8.08,15
"s131",20,20,20
"s132",5,7.5,8
"s133",20,-1,-1
"s134",-1,0,99.99
"s135",10,10,10
"s136",-1,25,20
"s137",12.5,8.5,12.5
"s138",10.5,15,25
"s139",5,5,10
"s140",6,10,20
"s141",5,5,10
"s142",11,5,10
"s143",13,5,15
"s144",25,20,10.5
"s145",2,-1,-1
"s146",5,5,5
"s147",5,5,5
"s148",10,10,15
"s149",5,25,40
"s150",5.5,10,30
"s151",5,25,25
"s152",10,10,10
"s153",-1,10,-1
"s154",-1,30,30
"s155",-1,20,-1
"s156",-1,35,-1
"s157",-1,5,-1
"s158",-1,17,-1
"s159",-1,-1,10
"s160",-1,-1,15
