"","rock","chart","reggae","dance","heavy","techno","folk","rave","indie","jazz","classical","sixty","house","grunge","rap","hiphop"
"s001",0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"s002",0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0
"s003",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s004",1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"s005",1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"s006",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s007",1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0
"s008",0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"s009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s010",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s011",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s012",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s013",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s014",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s015",1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0
"s016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s017",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s018",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s019",0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
"s020",0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"s021",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"s022",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"s023",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"s024",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s026",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s027",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"s028",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s029",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s031",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"s032",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"s033",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"s034",0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1
"s035",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s036",0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
"s037",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"s038",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s039",0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"s040",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
"s041",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s042",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s043",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s044",0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0
"s045",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s046",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"s047",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"s048",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s049",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"s050",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s051",1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
"s052",0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"s053",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"s054",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s055",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"s056",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s057",1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"s058",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s059",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s060",0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
"s061",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s062",1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"s063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s064",0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"s065",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"s066",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
