"","t1","t2","t3"
"s001",1,1,2
"s002",1,1,1
"s003",2,2,2
"s004",1,1,1
"s005",2,2,1
"s006",1,1,1
"s007",1,1,1
"s008",2,1,1
"s009",1,NA,NA
"s010",1,1,1
"s011",1,1,1
"s012",1,2,1
"s013",1,1,1
"s014",1,1,1
"s015",2,2,2
"s016",2,NA,2
"s017",1,2,NA
"s018",1,1,1
"s019",1,1,1
"s020",1,1,1
"s021",1,1,1
"s022",1,1,1
"s023",1,1,1
"s024",1,1,NA
"s025",1,NA,NA
"s026",2,1,1
"s027",1,1,2
"s028",2,1,1
"s029",1,2,2
"s030",2,NA,2
"s031",2,1,NA
"s032",1,1,1
"s033",1,1,1
"s034",1,1,1
"s035",1,1,1
"s036",1,1,1
"s037",1,1,1
"s038",1,1,1
"s039",1,1,1
"s040",1,1,NA
"s041",2,2,2
"s042",1,1,1
"s043",1,2,2
"s044",1,1,2
"s045",2,1,1
"s046",2,2,2
"s047",1,2,1
"s048",NA,1,1
"s049",1,1,1
"s050",1,1,1
"s051",1,1,1
"s052",1,1,2
"s053",1,1,1
"s054",1,2,1
"s055",1,2,2
"s056",2,2,1
"s057",2,1,1
"s058",2,2,1
"s059",1,1,1
"s060",2,1,1
"s061",2,2,2
"s062",1,1,1
"s063",2,NA,NA
"s064",2,2,1
"s065",1,2,2
"s066",1,1,1
"s067",2,1,NA
"s068",1,1,1
"s069",1,1,2
"s070",1,1,1
"s071",2,1,1
"s072",2,2,2
"s073",1,1,2
"s074",1,1,1
"s075",1,1,1
"s076",1,1,1
"s077",1,1,1
"s078",1,2,2
"s079",1,1,2
"s080",1,1,2
"s081",2,1,2
"s082",1,1,2
"s083",1,1,1
"s084",1,1,2
"s085",1,1,1
"s086",1,1,1
"s087",1,1,1
"s088",2,2,1
"s089",1,1,1
"s090",1,1,1
"s091",2,1,1
"s092",2,1,1
"s093",2,1,2
"s094",2,NA,NA
"s095",1,1,1
"s096",1,2,NA
"s097",1,1,1
"s098",1,1,2
"s099",2,1,2
"s100",1,1,1
"s101",1,2,1
"s102",2,NA,NA
"s103",2,NA,NA
"s104",2,NA,NA
"s105",1,1,1
"s106",1,1,1
"s107",1,1,1
"s108",1,1,1
"s109",2,2,2
"s110",2,1,1
"s111",2,2,2
"s112",1,1,1
"s113",1,1,1
"s114",2,2,2
"s115",2,1,1
"s116",1,1,1
"s117",1,1,1
"s118",2,1,1
"s119",2,1,NA
"s120",1,1,1
"s121",1,1,2
"s122",2,1,1
"s123",1,1,2
"s124",1,NA,NA
"s125",2,1,1
"s126",1,2,1
"s127",2,1,2
"s128",2,1,NA
"s129",1,2,NA
"s130",1,1,1
"s131",1,2,2
"s132",1,1,1
"s133",2,NA,NA
"s134",1,1,1
"s135",1,1,NA
"s136",NA,1,2
"s137",1,1,1
"s138",1,1,2
"s139",1,1,1
"s140",1,1,1
"s141",1,1,1
"s142",2,1,1
"s143",1,1,1
"s144",2,1,2
"s145",1,NA,NA
"s146",2,1,2
"s147",1,1,1
"s148",1,1,1
"s149",1,1,1
"s150",1,1,2
"s151",1,1,1
"s152",1,1,1
"s153",NA,1,NA
"s154",NA,2,2
"s155",NA,2,NA
"s156",NA,1,NA
"s157",NA,1,1
"s158",NA,2,NA
"s159",NA,NA,1
"s160",NA,NA,1
