"","x"
"s001",TRUE
"s002",TRUE
"s003",TRUE
"s004",TRUE
"s005",TRUE
"s006",TRUE
"s007",TRUE
"s008",TRUE
"s009",FALSE
"s010",TRUE
"s011",TRUE
"s012",TRUE
"s013",TRUE
"s014",TRUE
"s015",TRUE
"s016",FALSE
"s017",FALSE
"s018",TRUE
"s019",TRUE
"s020",TRUE
"s021",TRUE
"s022",TRUE
"s023",TRUE
"s024",FALSE
"s025",FALSE
"s026",TRUE
"s027",TRUE
"s028",TRUE
"s029",TRUE
"s030",FALSE
"s031",FALSE
"s032",TRUE
"s033",TRUE
"s034",TRUE
"s035",TRUE
"s036",TRUE
"s037",TRUE
"s038",TRUE
"s039",TRUE
"s040",FALSE
"s041",TRUE
"s042",TRUE
"s043",TRUE
"s044",TRUE
"s045",TRUE
"s046",TRUE
"s047",TRUE
"s048",FALSE
"s049",TRUE
"s050",TRUE
"s051",TRUE
"s052",TRUE
"s053",TRUE
"s054",TRUE
"s055",TRUE
"s056",TRUE
"s057",TRUE
"s058",TRUE
"s059",TRUE
"s060",TRUE
"s061",TRUE
"s062",TRUE
"s063",FALSE
"s064",TRUE
"s065",TRUE
"s066",TRUE
"s067",FALSE
"s068",TRUE
"s069",TRUE
"s070",TRUE
"s071",TRUE
"s072",TRUE
"s073",TRUE
"s074",TRUE
"s075",TRUE
"s076",TRUE
"s077",TRUE
"s078",TRUE
"s079",TRUE
"s080",TRUE
"s081",TRUE
"s082",TRUE
"s083",TRUE
"s084",TRUE
"s085",TRUE
"s086",TRUE
"s087",TRUE
"s088",TRUE
"s089",TRUE
"s090",TRUE
"s091",TRUE
"s092",TRUE
"s093",TRUE
"s094",FALSE
"s095",TRUE
"s096",FALSE
"s097",TRUE
"s098",TRUE
"s099",TRUE
"s100",TRUE
"s101",TRUE
"s102",FALSE
"s103",FALSE
"s104",FALSE
"s105",TRUE
"s106",TRUE
"s107",TRUE
"s108",TRUE
"s109",TRUE
"s110",TRUE
"s111",TRUE
"s112",TRUE
"s113",TRUE
"s114",TRUE
"s115",TRUE
"s116",TRUE
"s117",TRUE
"s118",TRUE
"s119",FALSE
"s120",TRUE
"s121",TRUE
"s122",TRUE
"s123",TRUE
"s124",FALSE
"s125",TRUE
"s126",TRUE
"s127",TRUE
"s128",FALSE
"s129",FALSE
"s130",TRUE
"s131",TRUE
"s132",TRUE
"s133",FALSE
"s134",TRUE
"s135",TRUE
"s136",FALSE
"s137",TRUE
"s138",TRUE
"s139",TRUE
"s140",TRUE
"s141",TRUE
"s142",TRUE
"s143",TRUE
"s144",TRUE
"s145",FALSE
"s146",TRUE
"s147",TRUE
"s148",TRUE
"s149",TRUE
"s150",TRUE
"s151",TRUE
"s152",TRUE
"s153",FALSE
"s154",FALSE
"s155",FALSE
"s156",FALSE
"s157",FALSE
"s158",FALSE
"s159",FALSE
"s160",FALSE
