"","x"
"s001",2
"s002",1
"s003",2
"s004",1
"s005",1
"s006",1
"s007",2
"s008",1
"s009",2
"s010",1
"s011",2
"s012",2
"s013",2
"s014",1
"s015",2
"s016",2
"s017",2
"s018",1
"s019",2
"s020",1
"s021",1
"s022",1
"s023",1
"s024",1
"s025",2
"s026",2
"s027",2
"s028",2
"s029",2
"s030",2
"s031",2
"s032",1
"s033",2
"s034",2
"s035",1
"s036",1
"s037",1
"s038",1
"s039",1
"s040",2
"s041",2
"s042",1
"s043",2
"s044",1
"s045",2
"s046",2
"s047",1
"s048",1
"s049",1
"s050",1
"s051",1
"s052",2
"s053",1
"s054",2
"s055",2
"s056",2
"s057",1
"s058",1
"s059",2
"s060",1
"s061",1
"s062",1
"s063",2
"s064",2
"s065",2
"s066",2
"s067",1
"s068",1
"s069",1
"s070",2
"s071",1
"s072",2
"s073",2
"s074",1
"s075",1
"s076",1
"s077",1
"s078",1
"s079",1
"s080",1
"s081",1
"s082",2
"s083",1
"s084",1
"s085",1
"s086",2
"s087",2
"s088",2
"s089",2
"s090",1
"s091",1
"s092",1
"s093",2
"s094",1
"s095",1
"s096",1
"s097",2
"s098",1
"s099",2
"s100",1
"s101",1
"s102",1
"s103",1
"s104",2
"s105",2
"s106",1
"s107",2
"s108",1
"s109",1
"s110",1
"s111",1
"s112",2
"s113",1
"s114",2
"s115",2
"s116",1
"s117",1
"s118",2
"s119",2
"s120",1
"s121",2
"s122",1
"s123",2
"s124",1
"s125",2
"s126",2
"s127",2
"s128",2
"s129",1
"s130",1
"s131",2
"s132",2
"s133",2
"s134",2
"s135",2
"s136",1
"s137",1
"s138",1
"s139",2
"s140",1
"s141",1
"s142",1
"s143",2
"s144",1
"s145",2
"s146",1
"s147",2
"s148",1
"s149",1
"s150",1
"s151",1
"s152",2
"s153",1
"s154",2
"s155",2
"s156",2
"s157",2
"s158",2
"s159",2
"s160",2
